"","beta_hat_1","seb1","beta_hat_2","seb2","p_value"
"418374",-0.00658993720698678,0.0101465107634235,0.00292193099666104,0.0101465107634235,0.516029354364117
"356846",-0.00294563535522069,0.0103024439273986,-0.00820174683796677,0.0103024439273986,0.774942325230496
"49006",-0.004375983519156,0.00739547702025656,-0.00607286987021141,0.00739547702025656,0.554044272743636
"355223",-0.00723843783191333,0.00819273716999796,-0.00310619488263668,0.00819273716999796,0.376955995316503
"326171",0.00928707493772342,0.0103024439273986,0.0131705995156388,0.0103024439273986,0.367352364287391
"346601",-0.00216822787577366,0.00744550336525281,-0.00446588825652702,0.00744550336525281,0.770888368884457
"23071",-0.00190045018678571,0.0075907211527659,-0.0007430318747064,0.0075907211527659,0.802305166592124
"116789",-0.0033208805133138,0.00730791511754897,-0.00669435641556679,0.00730791511754897,0.649524814570956
"387504",0.00658131738009891,0.0075,-0.0103351210655505,0.0075,0.3802102412688
"343451",-0.00188576272134106,0.00730791511754897,-0.00548029794741773,0.00730791511754897,0.796373047618408
"257430",0.00781981940275703,0.0092681354540188,0.000668857733719855,0.0092681354540188,0.398819366130565
"6313",0.00714011174075268,0.00741994688181925,-0.00695537432250246,0.00741994688181925,0.335905909735969
"96290",-0.000414029554690866,0.0106445459452953,0.00118555858376752,0.0106445459452953,0.968973358454721
"295788",0.0127829215656318,0.00850420064270761,0.0150144131451261,0.00850420064270761,0.1328054496551
"351888",0.0118948312425876,0.0161451198080727,-0.0139166582125083,0.0161451198080727,0.461277625917755
"477013",0.0029948616743125,0.00857472340488996,-0.00866842907944763,0.00857472340488996,0.72688941724881
"238682",0.0136396382151037,0.00864834990295583,0.000733013020473963,0.00864834990295583,0.114763856434934
"404753",0.00894864371844598,0.00762350865746701,0.00105848646953181,0.00762350865746701,0.240466249188401
"199094",0.00459482167450595,0.00707684659947774,0.000459296051976271,0.00707684659947774,0.516160450210744
"468167",-0.00527509598051771,0.00739547702025656,0.0117299902267417,0.00739547702025656,0.475668317116103
"197177",-0.00129717727062425,0.00948683298050514,0.0124094600892045,0.00948683298050514,0.891240666373349
"366246",0.0031938152020237,0.00708010340017146,-0.00708317275256029,0.00708010340017146,0.651919456709771
"216117",-0.00326950156241933,0.00793856620135735,-0.000535822372263458,0.00793856620135735,0.680449087025887
"107467",-0.00179897480932269,0.00803418998036979,-0.000674979958990383,0.00803418998036979,0.822823525113039
"210053",0.00172805448173143,0.0104681346273359,-0.0090548162752777,0.0104681346273359,0.868882908162231
"346830",-0.0152302018956283,0.0122983738762488,0.00304223122510766,0.0122983738762488,0.215570924104825
"554239",-0.00635624792683727,0.00776858965460751,-0.00609745412890188,0.00776858965460751,0.413243886493708
"89485",0.00489071320210855,0.00708010340017146,0.014197969160132,0.00708010340017146,0.489710963339317
"171841",-0.00350473775258662,0.00734968415259167,0.00119300916949518,0.00734968415259167,0.633464978941311
"320698",-0.00189745183768202,0.00714284970625031,0.007926009167217,0.00714284970625031,0.790513754614827
"125852",0.00564793514728288,0.0117326252127144,-0.00128448405163455,0.0117326252127144,0.630241359632103
"151919",-0.0070174645795414,0.00776858965460751,-0.00934686717106784,0.00776858965460751,0.366360034358333
"127169",0.00728986978166597,0.00739547702025656,-0.00718182274865458,0.00739547702025656,0.324270520856948
"343423",0.00880020169456977,0.00728848072093987,0.00458606704960677,0.00728848072093987,0.22727337859011
"276105",-0.00985196670273903,0.00723572865928299,-0.00748827126371291,0.00723572865928299,0.173332946090281
"82961",0.000799437122436995,0.00830965119273404,0.0194473987939588,0.00830965119273404,0.923357078410538
"325550",-0.0103363573114084,0.0077301298784727,0.00815780226814466,0.0077301298784727,0.181173081861988
"163379",0.00835791470879479,0.00719092495506675,0.0149577054889489,0.00719092495506675,0.24511912475591
"371970",-0.00560953757154344,0.00850420064270761,0.00391871250860031,0.00850420064270761,0.509497962199614
"134690",0.0119927050011137,0.0103024439273986,-0.000446386181253978,0.0103024439273986,0.244398040513853
"275632",-0.00441343729476611,0.00752900694868281,-0.0128363188058083,0.00752900694868281,0.557747063518499
"28618",-0.00097864516289914,0.00708010340017146,-0.000273468576216577,0.00708010340017146,0.890062835308452
"496711",-0.0211722140685976,0.0148174374172089,0.00326876929335743,0.0148174374172089,0.153041169476969
"467577",0.00245006519936474,0.00709426834277486,0.0136780285766882,0.00709426834277486,0.729824943624456
"367293",-6.9793083470179e-05,0.00813774987161519,-0.00207896405930169,0.00813774987161519,0.993157059143183
"144459",0.00963022003026865,0.0077301298784727,0.00386618630293172,0.0077301298784727,0.212836678665325
"352487",-0.00884999242170296,0.0071235927143097,-0.005841078319838,0.0071235927143097,0.214107609566311
"350019",-0.0135450682214829,0.0106445459452953,0.00833386932933952,0.0106445459452953,0.203199410077908
"16019",-0.00138841388704741,0.00888974556426603,0.000324058725107053,0.00888974556426603,0.875889950646115
"171163",-0.003497753553478,0.00707251118150938,0.00408600592953342,0.00707251118150938,0.620913496360133
